DEPADM;DepBol;NomeDepBol;codRMet;CODESC;NOMESC;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;1;395;JOAQUIM LUIZ DE BRITO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;264,8
1;1;Rede Estadual;1;401;MARQUES DE TAMANDARE ALMIRANTE;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;252
1;1;Rede Estadual;1;401;MARQUES DE TAMANDARE ALMIRANTE;9º Ano EF;9;GERAL;2;MATEMÁTICA;259,8
1;1;Rede Estadual;1;401;MARQUES DE TAMANDARE ALMIRANTE;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;273,7
1;1;Rede Estadual;1;401;MARQUES DE TAMANDARE ALMIRANTE;EM-3ª série;9;GERAL;2;MATEMÁTICA;261,5
1;1;Rede Estadual;1;413;JOAQUIM SILVADO DOUTOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;243,5
1;1;Rede Estadual;1;413;JOAQUIM SILVADO DOUTOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;244,7
1;1;Rede Estadual;1;413;JOAQUIM SILVADO DOUTOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;270,7
1;1;Rede Estadual;1;413;JOAQUIM SILVADO DOUTOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;266,9
1;1;Rede Estadual;1;425;REPUBLICA DO CHILE;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;196,9
1;1;Rede Estadual;1;425;REPUBLICA DO CHILE;3º Ano EF;9;GERAL;2;MATEMÁTICA;259,6
1;1;Rede Estadual;1;425;REPUBLICA DO CHILE;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;236,6
1;1;Rede Estadual;1;425;REPUBLICA DO CHILE;5º Ano EF;9;GERAL;2;MATEMÁTICA;247,9
1;1;Rede Estadual;1;437;ANGELINA MADUREIRA PROFESSORA;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;196,3
1;1;Rede Estadual;1;437;ANGELINA MADUREIRA PROFESSORA;3º Ano EF;9;GERAL;2;MATEMÁTICA;249,3
1;1;Rede Estadual;1;437;ANGELINA MADUREIRA PROFESSORA;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;219,7
1;1;Rede Estadual;1;437;ANGELINA MADUREIRA PROFESSORA;5º Ano EF;9;GERAL;2;MATEMÁTICA;228
1;1;Rede Estadual;1;449;TAUNAY VISCONDE DE;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;216
1;1;Rede Estadual;1;449;TAUNAY VISCONDE DE;3º Ano EF;9;GERAL;2;MATEMÁTICA;255,3
1;1;Rede Estadual;1;449;TAUNAY VISCONDE DE;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;215,3
1;1;Rede Estadual;1;449;TAUNAY VISCONDE DE;5º Ano EF;9;GERAL;2;MATEMÁTICA;232,9
1;1;Rede Estadual;1;450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;246
1;1;Rede Estadual;1;450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,1
1;1;Rede Estadual;1;450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;266,2
1;1;Rede Estadual;1;450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;271,9
1;1;Rede Estadual;1;462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;217,3
1;1;Rede Estadual;1;462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;239,2
1;1;Rede Estadual;1;462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;275,8
1;1;Rede Estadual;1;462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;268,6
1;1;Rede Estadual;1;474;MATHIAS AIRES;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;194,9
1;1;Rede Estadual;1;474;MATHIAS AIRES;3º Ano EF;9;GERAL;2;MATEMÁTICA;243,8
1;1;Rede Estadual;1;474;MATHIAS AIRES;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;224,9
1;1;Rede Estadual;1;474;MATHIAS AIRES;5º Ano EF;9;GERAL;2;MATEMÁTICA;237,6
1;1;Rede Estadual;1;498;LUIZ GONZAGA RIGHINI PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;233
